ABRAKONTE	Lasithi Crete
KOZANH	Kozani
Α. ΒΛΑΣΙΑ	Ano Vlasia Kalavrita
Α.ΒΛΑΣΙΑ	Ano Vlasia Kalavrita
Α.ΒΡΟΝΤΟΥ	Ano Vrontou Serres
Α.ΔΙΑΚΟΠΤΟΝ	Ano Diakopto Aigialeia
Α.Η.Σ.ΚΑΡΔΙΑΣ	502 00 Greece
Α.ΚΑΛΕΝΤΙΝΗ	Ano Kalentini Arta
Α.ΚΑΛΛΙΝΙΚΗ	Ano Kalliniki Florina
Α.ΚΑΛΛΙΝΙΚΗΣ	Ano Kalliniki Florina
Α.ΚΑΜΗΛΑ	Ano Kamila Serres
Α.ΚΑΣΤΡΙΤΣΙΟΝ	Ano Kastritsi Patra
Α.ΚΕΡΑΣΟΒΟ	Ano Kerasovo Agrinio
Α.ΚΛΕΙΝΑΙ	Ano Klines Florina
Α.ΚΛΕΙΝΕΣ	Ano Klines Florina
Α.ΚΛΕΙΝΩΝ	Ano Klines Florina
Α.ΚΩΜΗ	Ano Komi Kozani
Α.ΛΑΨΙΣΤΑ	Ano Lapsista Ioannina
Α.ΛΟΥΣΟΙ	Ano Lousi Kalavryta
Α.ΜΑΚΡΥΝΟΥ	
Α.ΟΡΕΝΗ	Ano Orini Serres
Α.ΠΕΔΙΝΑ	Ano Pedina Zagori
Α.ΠΟΡΟΙΑ	Ano Poroia Serres
Α.ΠΥΞΑΡΙΟΝ	Ano Pixari Paranesti
Α.ΡΑΒΕΝΙΑ	Ano Ravenia Ioannina
Α.ΣΟΥΔΕΝΕΙΚΑ	Ano Soudeneika Achaia
Α.ΥΔΡΟΥΣΣΑΣ	Ano Idroussa Florina
Α.ΧΡΥΣ/ΤΣΑ	
ΑΒΑΡΙΚΟ	Avarikos Etoloakarnania
ΑΒΑΤΟΝ	Avato Xanthi
ΑΒΓΟΝ	Avgo Xanthi
ΑΒΡΑΜΗΛΙΑ	Avramilia Kavala
ΑΓ  ΙΩΑΝΝΗΣ	Agios Ioannis Mouresi
ΑΓ  ΝΙΚΟΛΑΟΣ	Agios Nikolaos Lasithi
ΑΓ ΓΕΩΡΓΙΟΣ	Agios Georgios Kerkira
ΑΓ ΙΩΑΝΝΗΣ	Agios Ioannis Esperii
ΑΓ ΠΑΝΤΩΝ	Agion Panton Marathonas
ΑΓ ΤΡΙΑΔ ΑΗΣ ΑΘΕΡΙΝ.	
ΑΓ ΤΡΙΑΔΑ	Agia Triada Thessaloniki
ΑΓ. ΒΑΣΙΛΕΙΟΣ	Agios Vasileios Patra
ΑΓ. ΓΕΩΡΓΙΟΣ	Agios Georgios Kerkira
ΑΓ. ΕΛΕΥΘΕΡΙΟΣ	Agios Eleftherios Kefallonia
ΑΓ. ΘΕΟΔΩΡΟΙ	Agioi Theodoroi Corinthia
ΑΓ. Ι. ΠΡΑΤΣΙΚΑ	Agiou Ioanni Pratsika
ΑΓ. ΙΩΑΝΝΗΣ	Agios Ioannis Magnisia
ΑΓ. ΙΩΑΝΝΗΣ ΜΟΝ.	Agios Ioannis Monemvasia
ΑΓ. ΚΩΝ/ΝΟΣ	Agios Konstantinos Phthiotis
ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ	Agios Konstantinos Phthiotis
ΑΓ. ΝΙΚΟΛΑΟΣ	Agios Nikolaos Lasithi
ΑΓ. ΝΙΚΟΛΟΣ ΚΡΑΛΙ	Agios Nikolaos Olenia
ΑΓ. ΣΩΣΤΗΣ	Agios Sostis Messenia
ΑΓ. ΤΡΙΑΔΑ	Agia Triada Thessaloniki
ΑΓ. ΧΑΡΑΛΑΜΠΟΣ ΚΑΜ. ΒΟΥΡΛΩΝ	Agios Charalampos Molos
ΑΓ.ΑΘΑΝΑ	Agios Athanasios Edessa
ΑΓ.ΑΝΔΡΕΑ	Agios Andreas Arkadia
ΑΓ.ΑΝΔΡΙΑΝΟΣ	Agios Adrianos Argolida
ΑΓ.ΑΝΔΡΙΑΝΟΥ	Agios Adrianos Argolida
ΑΓ.ΑΝΝΑ	Agia Anna Naxos
ΑΓ.ΑΝΝΑ ΒΟΙΩΤΙΑ	Agia Anna Viotia
ΑΓ.ΑΝΝΑ ΕΥΒΟΙΑΣ	Agia Anna Euboea
ΑΓ.ΑΡΣΕΝΙΟΣ	Agios Arsenios Naxos
ΑΓ.ΑΧΙΛΕΙΟΣ	Agios Achillios Florina
ΑΓ.ΑΧΙΛΛΕΙΟΣ	Agios Achillios Florina
ΑΓ.ΒΑΡΘΟΛΟΜΑΙΟΣ	Agios Vartholomeos Florina
ΑΓ.ΒΑΣΙΛΕΙΟΣ	Agios Vasileios Thessaloniki
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΚΟ	Agios Vasileios Koronia
ΑΓ.ΒΑΣΙΛΕΙΟΣ ΚΥ	Agios Vasileios Leonidio
